Delta,Delta_over_gamma,P1,S_perp,T_L,T_R,T_R_over_T_L,V,abs_C,epsilon,gamma_L,gamma_R,gamma_R_over_L,min_eig,mu_L,mu_R,p_L,p_R,positive,scan,theta_R
0.15,0.15,0.6320240657418303,0.0,1.2,0.6,,,0.0,0.0,1.0,1.0,,0.2886012610039221,0.4,-0.4,0.0,0.0,1,polarization,1.5707963267948966
0.15,0.15,0.6306942040629873,0.013166406008101077,1.2,0.6,,,0.006583203004050539,0.0,1.0,1.0,,0.30812920919759473,0.4,-0.4,0.08636363636363636,0.08636363636363636,1,polarization,1.5707963267948966
0.15,0.15,0.630513516024526,0.02626314496066265,1.2,0.6,,,0.013131572480331324,0.0,1.0,1.0,,0.30160465856004576,0.4,-0.4,0.17272727272727273,0.17272727272727273,1,polarization,1.5707963267948966
0.15,0.15,0.6305107015902198,0.03934695591679188,1.2,0.6,,,0.01967347795839594,0.0,1.0,1.0,,0.29300144638349046,0.4,-0.4,0.2590909090909091,0.2590909090909091,1,polarization,1.5707963267948966
0.15,0.15,0.6306958502502074,0.05247857565563895,1.2,0.6,,,0.026239287827819476,0.0,1.0,1.0,,0.28407901416398834,0.4,-0.4,0.34545454545454546,0.34545454545454546,1,polarization,1.5707963267948966
0.15,0.15,0.6310889663804319,0.06572795064889596,1.2,0.6,,,0.03286397532444798,0.0,1.0,1.0,,0.27513729941058424,0.4,-0.4,0.4318181818181818,0.4318181818181818,1,polarization,1.5707963267948966
0.15,0.15,0.6317230587385915,0.07918136738552631,1.2,0.6,,,0.039590683692763154,0.0,1.0,1.0,,0.26627432094171993,0.4,-0.4,0.5181818181818182,0.5181818181818182,1,polarization,1.5707963267948966
0.15,0.15,0.6326495882399041,0.09295222447315989,1.2,0.6,,,0.04647611223657994,0.0,1.0,1.0,,0.25754672102505116,0.4,-0.4,0.6045454545454545,0.6045454545454545,1,polarization,1.5707963267948966
0.15,0.15,0.6339480416826158,0.10719864184599372,1.2,0.6,,,0.05359932092299686,0.0,1.0,1.0,,0.2490056579534805,0.4,-0.4,0.6909090909090909,0.6909090909090909,1,polarization,1.5707963267948966
0.15,0.15,0.6357432953060413,0.12215435253067174,1.2,0.6,,,0.06107717626533587,0.0,1.0,1.0,,0.2407110072695956,0.4,-0.4,0.7772727272727273,0.7772727272727273,1,polarization,1.5707963267948966
0.15,0.15,0.6382388728759496,0.13818700134994963,1.2,0.6,,,0.06909350067497481,0.0,1.0,1.0,,0.23274153908111261,0.4,-0.4,0.8636363636363636,0.8636363636363636,1,polarization,1.5707963267948966
0.15,0.15,0.6417856950822323,0.1559178974869474,1.2,0.6,,,0.0779589487434737,0.0,1.0,1.0,,0.22520467051644452,0.4,-0.4,0.95,0.95,1,polarization,1.5707963267948966
0.15,0.15,0.6635478117721462,0.0032042977077791275,1.2,0.6,,0.0,0.0016021488538895637,0.0,1.0,1.0,,0.32292264162931655,0.0,-0.0,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.6550680197776936,0.02249916719221573,1.2,0.6,,0.18181818181818182,0.011249583596107865,0.0,1.0,1.0,,0.31546457148941554,0.09090909090909091,-0.09090909090909091,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.6475574804180533,0.04826608243461575,1.2,0.6,,0.36363636363636365,0.024133041217307874,0.0,1.0,1.0,,0.29448386946735666,0.18181818181818182,-0.18181818181818182,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.6411324102572215,0.07381117031814872,1.2,0.6,,0.5454545454545454,0.03690558515907436,0.0,1.0,1.0,,0.27426255698851343,0.2727272727272727,-0.2727272727272727,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.6358751366986966,0.09888484879245761,1.2,0.6,,0.7272727272727273,0.049442424396228805,0.0,1.0,1.0,,0.25531127138334014,0.36363636363636365,-0.36363636363636365,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.6318324818701031,0.12328057327805889,1.2,0.6,,0.9090909090909092,0.06164028663902944,0.0,1.0,1.0,,0.23776443749885012,0.4545454545454546,-0.4545454545454546,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.6290162171928357,0.14683774913000763,1.2,0.6,,1.0909090909090908,0.07341887456500382,0.0,1.0,1.0,,0.22167529293946342,0.5454545454545454,-0.5454545454545454,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.627405403578961,0.16944088935448867,1.2,0.6,,1.2727272727272727,0.08472044467724434,0.0,1.0,1.0,,0.20704919812984424,0.6363636363636364,-0.6363636363636364,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.6269502764682207,0.19101596272326682,1.2,0.6,,1.4545454545454546,0.09550798136163341,0.0,1.0,1.0,,0.19385539829136722,0.7272727272727273,-0.7272727272727273,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.6275772254202382,0.21152493603275785,1.2,0.6,,1.6363636363636365,0.10576246801637892,0.0,1.0,1.0,,0.18203520651946054,0.8181818181818182,-0.8181818181818182,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.6291943705101778,0.23095942256610974,1.2,0.6,,1.8181818181818183,0.11547971128305487,0.0,1.0,1.0,,0.17150922235494176,0.9090909090909092,-0.9090909090909092,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.631697254973603,0.24933417300777178,1.2,0.6,,2.0,0.12466708650388589,0.0,1.0,1.0,,0.16218390917588715,1.0,-1.0,0.7,0.7,1,bias,1.5707963267948966
0.15,0.15,0.5582562346407458,0.18030200681376632,1.2,0.24,0.2,,0.09015100340688316,0.0,1.0,1.0,,0.16559780351372283,0.4,-0.4,0.7,0.7,1,T_ratio,1.5707963267948966
0.15,0.15,0.5926977327598754,0.14916782903739875,1.2,0.3466666666666667,0.2888888888888889,,0.07458391451869938,0.0,1.0,1.0,,0.20194513050064666,0.4,-0.4,0.7,0.7,1,T_ratio,1.5707963267948966
0.15,0.15,0.6148336693546277,0.12798716848420913,1.2,0.4533333333333333,0.37777777777777777,,0.06399358424210456,0.0,1.0,1.0,,0.22625544763780886,0.4,-0.4,0.7,0.7,1,T_ratio,1.5707963267948966
0.15,0.15,0.6297397590709075,0.11316826898368956,1.2,0.5599999999999999,0.4666666666666667,,0.05658413449184478,0.0,1.0,1.0,,0.24310157002912117,0.4,-0.4,0.7,0.7,1,T_ratio,1.5707963267948966
0.15,0.15,0.640329701696249,0.10235624379034136,1.2,0.6666666666666666,0.5555555555555556,,0.05117812189517068,0.0,1.0,1.0,,0.25532296839489177,0.4,-0.4,0.7,0.7,1,T_ratio,1.5707963267948966
0.15,0.15,0.6481975456960523,0.09416653591173306,1.2,0.7733333333333333,0.6444444444444445,,0.04708326795586653,0.0,1.0,1.0,,0.2645470964792205,0.4,-0.4,0.7,0.7,1,T_ratio,1.5707963267948966
0.15,0.15,0.654256055801427,0.08776748889522167,1.2,0.88,0.7333333333333334,,0.04388374444761083,0.0,1.0,1.0,,0.2717371685537541,0.4,-0.4,0.7,0.7,1,T_ratio,1.5707963267948966
0.15,0.15,0.6590572241567925,0.08263853109641905,1.2,0.9866666666666666,0.8222222222222222,,0.04131926554820953,0.0,1.0,1.0,,0.2774904773671294,0.4,-0.4,0.7,0.7,1,T_ratio,1.5707963267948966
0.15,0.15,0.6629518145690372,0.07844013081426116,1.2,1.0933333333333335,0.9111111111111112,,0.03922006540713058,0.0,1.0,1.0,,0.2821941478549131,0.4,-0.4,0.7,0.7,1,T_ratio,1.5707963267948966
0.15,0.15,0.6661723972943099,0.07494252285241794,1.2,1.2,1.0,,0.03747126142620897,0.0,1.0,1.0,,0.28610899775563087,0.4,-0.4,0.7,0.7,1,T_ratio,1.5707963267948966
0.15,0.15,0.853219267390398,0.01940334566184747,1.2,0.6,,,0.009701672830923736,-1.0,1.0,1.0,,0.14678073260960203,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.825039878765117,0.03874000707889452,1.2,0.6,,,0.01937000353944726,-0.8333333333333334,1.0,1.0,,0.17496012123488305,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.7930602720605588,0.057054956036678275,1.2,0.6,,,0.028527478018339138,-0.6666666666666667,1.0,1.0,,0.206939727939441,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.7574518396185668,0.07367638470582401,1.2,0.6,,,0.036838192352912004,-0.5,1.0,1.0,,0.2425481603814331,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.7186312194990672,0.08806374127494783,1.2,0.6,,,0.044031870637473915,-0.33333333333333337,1.0,1.0,,0.28136878050093284,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.6772454567091157,0.0998259865878605,1.2,0.6,,,0.04991299329393025,-0.16666666666666674,1.0,1.0,,0.27549643539163,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.6341108931912589,0.10873452210082096,1.2,0.6,,,0.05436726105041048,0.0,1.0,1.0,,0.24811975588932497,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.5901191604913503,0.11472791093903584,1.2,0.6,,,0.05736395546951792,0.16666666666666652,1.0,1.0,,0.22217209513747824,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.5461362136202192,0.11790386123935488,1.2,0.6,,,0.05895193061967744,0.33333333333333326,1.0,1.0,,0.19800419548501227,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.5029208107239982,0.11849620073194121,1.2,0.6,,,0.059248100365970606,0.5,1.0,1.0,,0.17584387193975598,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.4610779194398554,0.11683927029809602,1.2,0.6,,,0.05841963514904801,0.6666666666666665,1.0,1.0,,0.1557888686004402,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.4210478650384625,0.11332617353240396,1.2,0.6,,,0.05666308676620198,0.8333333333333333,1.0,1.0,,0.13782205833979336,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.15,0.3831215237082343,0.10836843967927631,1.2,0.6,,,0.054184219839638156,1.0,1.0,1.0,,0.12184018233346927,0.4,-0.4,0.7,0.7,1,epsilon,1.5707963267948966
0.15,0.24,0.6818450537914189,0.06710313563725041,1.2,0.6,,,0.03355156781862521,0.0,1.0,0.25,0.25,0.2932730679243539,0.4,-0.4,0.7,0.7,1,gamma_asym,1.5707963267948966
0.15,0.19999999999999998,0.6592336962472615,0.09251741655130924,1.2,0.6,,,0.04625870827565462,0.0,1.0,0.5,0.5,0.26662909678525887,0.4,-0.4,0.7,0.7,1,gamma_asym,1.5707963267948966
0.15,0.15,0.6341108931912589,0.10873452210082096,1.2,0.6,,,0.05436726105041048,0.0,1.0,1.0,1.0,0.24811975588932497,0.4,-0.4,0.7,0.7,1,gamma_asym,1.5707963267948966
0.15,0.09999999999999999,0.6063768947547798,0.10650956405127383,1.2,0.6,,,0.05325478202563692,0.0,1.0,2.0,2.0,0.239441993409976,0.4,-0.4,0.7,0.7,1,gamma_asym,1.5707963267948966
0.15,0.06,0.5776238538362948,0.08659242980557501,1.2,0.6,,,0.043296214902787504,0.0,1.0,4.0,4.0,0.23877893905559827,0.4,-0.4,0.7,0.7,1,gamma_asym,1.5707963267948966
0.05,0.05,0.562687553591509,0.05160400255547462,1.5,0.4,,,0.02580200127773731,0.0,1.0,1.0,,0.25540578606757136,0.6,-0.6,0.5,0.5,1,grid,0.4
0.05,0.05,0.5642700270169076,0.07094385321919564,1.5,0.4,,,0.03547192660959782,0.0,1.0,1.0,,0.24659970931615888,0.6,-0.6,0.7,0.7,1,grid,0.4
0.05,0.05,0.568086189356698,0.08638161701561607,1.5,0.4,,,0.043190808507808036,0.0,1.0,1.0,,0.2406070777588603,0.6,-0.6,0.85,0.85,1,grid,0.4
0.05,0.05,0.5796981899417257,0.10008119934442013,1.5,0.4,,,0.050040599672210063,0.0,1.0,1.0,,0.23721419289931434,0.6,-0.6,0.95,0.95,1,grid,0.4
0.05,0.05,0.5633291302435974,0.0682692509532239,1.5,0.4,,,0.03413462547661195,0.0,1.0,1.0,,0.24749219415681503,0.6,-0.6,0.5,0.5,1,grid,0.5428571428571429
0.05,0.05,0.5660992745354749,0.09441641964157843,1.5,0.4,,,0.047208209820789215,0.0,1.0,1.0,,0.2357625229104764,0.6,-0.6,0.7,0.7,1,grid,0.5428571428571429
0.05,0.05,0.5723516017228489,0.11606959237990994,1.5,0.4,,,0.05803479618995497,0.0,1.0,1.0,,0.2281331864226995,0.6,-0.6,0.85,0.85,1,grid,0.5428571428571429
0.05,0.05,0.5883250145451444,0.1365122256347152,1.5,0.4,,,0.0682561128173576,0.0,1.0,1.0,,0.22397335159389126,0.6,-0.6,0.95,0.95,1,grid,0.5428571428571429
0.05,0.05,0.5641314377889779,0.08339043371913599,1.5,0.4,,,0.04169521685956799,0.0,1.0,1.0,,0.23978989768310158,0.6,-0.6,0.5,0.5,1,grid,0.6857142857142857
0.05,0.05,0.5682797205809023,0.11615172413436585,1.5,0.4,,,0.058075862067182925,0.0,1.0,1.0,,0.22536418809451422,0.6,-0.6,0.7,0.7,1,grid,0.6857142857142857
0.05,0.05,0.5769556139953624,0.14416800018379525,1.5,0.4,,,0.07208400009189762,0.0,1.0,1.0,,0.21624395298581606,0.6,-0.6,0.85,0.85,1,grid,0.6857142857142857
0.05,0.05,0.5955873807684137,0.17106305054389245,1.5,0.4,,,0.08553152527194623,0.0,1.0,1.0,,0.21139954706211594,0.6,-0.6,0.95,0.95,1,grid,0.6857142857142857
0.05,0.05,0.5650709255375117,0.09663871581119292,1.5,0.4,,,0.04831935790559646,0.0,1.0,1.0,,0.23240632333312794,0.6,-0.6,0.5,0.5,1,grid,0.8285714285714285
0.05,0.05,0.5706946204838954,0.135669567634931,1.5,0.4,,,0.0678347838174655,0.0,1.0,1.0,,0.2154729141429014,0.6,-0.6,0.7,0.7,1,grid,0.8285714285714285
0.05,0.05,0.5815378533841548,0.16987360094487755,1.5,0.4,,,0.08493680047243878,0.0,1.0,1.0,,0.20493318280803496,0.6,-0.6,0.85,0.85,1,grid,0.8285714285714285
0.05,0.05,0.6013600437752136,0.20234090016960055,1.5,0.4,,,0.10117045008480027,0.0,1.0,1.0,,0.1994339199808859,0.6,-0.6,0.95,0.95,1,grid,0.8285714285714285
0.05,0.05,0.5661215588208948,0.10773616575016208,1.5,0.4,,,0.05386808287508104,0.0,1.0,1.0,,0.22540584912017944,0.6,-0.6,0.5,0.5,1,grid,0.9714285714285714
0.05,0.05,0.5732355241254294,0.15251176446139392,1.5,0.4,,,0.07625588223069696,0.0,1.0,1.0,,0.20612368323012484,0.6,-0.6,0.7,0.7,1,grid,0.9714285714285714
0.05,0.05,0.5858672944574186,0.1923962636088185,1.5,0.4,,,0.09619813180440925,0.0,1.0,1.0,,0.194195601192173,0.6,-0.6,0.85,0.85,1,grid,0.9714285714285714
0.05,0.05,0.6058669344785521,0.22930890605546728,1.5,0.4,,,0.11465445302773364,0.0,1.0,1.0,,0.18801084193714182,0.6,-0.6,0.95,0.95,1,grid,0.9714285714285714
0.05,0.05,0.5672560447256924,0.11646273442020146,1.5,0.4,,,0.05823136721010073,0.0,1.0,1.0,,0.21883177614507904,0.6,-0.6,0.5,0.5,1,grid,1.1142857142857143
0.05,0.05,0.5758097426893045,0.16626704660825123,1.5,0.4,,,0.08313352330412561,0.0,1.0,1.0,,0.19733807605603307,0.6,-0.6,0.7,0.7,1,grid,1.1142857142857143
0.05,0.05,0.5898230880583426,0.2110412679808948,1.5,0.4,,,0.1055206339904474,0.0,1.0,1.0,,0.1840343608493801,0.6,-0.6,0.85,0.85,1,grid,1.1142857142857143
0.05,0.05,0.6093927758758315,0.25123062616853825,1.5,0.4,,,0.12561531308426913,0.0,1.0,1.0,,0.1770994678594068,0.6,-0.6,0.95,0.95,1,grid,1.1142857142857143
0.05,0.05,0.5684468812729826,0.12266099787189053,1.5,0.4,,,0.06133049893594526,0.0,1.0,1.0,,0.21271395084214179,0.6,-0.6,0.5,0.5,1,grid,1.2571428571428571
0.05,0.05,0.5783433006882173,0.17659346850755564,1.5,0.4,,,0.08829673425377782,0.0,1.0,1.0,,0.1891313181946374,0.6,-0.6,0.7,0.7,1,grid,1.2571428571428571
0.05,0.05,0.5933612478657828,0.22525459549569463,1.5,0.4,,,0.11262729774784731,0.0,1.0,1.0,,0.1744603967965563,0.6,-0.6,0.85,0.85,1,grid,1.2571428571428571
0.05,0.05,0.6121831664023557,0.2676013051766153,1.5,0.4,,,0.13380065258830764,0.0,1.0,1.0,,0.16670582564341063,0.6,-0.6,0.95,0.95,1,grid,1.2571428571428571
0.05,0.05,0.5696671801623823,0.12623838423834727,1.5,0.4,,,0.06311919211917363,0.0,1.0,1.0,,0.20707208713546404,0.6,-0.6,0.5,0.5,1,grid,1.4
0.05,0.05,0.5807805205117789,0.18323523627088328,1.5,0.4,,,0.09161761813544164,0.0,1.0,1.0,,0.1815150172685254,0.6,-0.6,0.7,0.7,1,grid,1.4
0.05,0.05,0.5964838206061294,0.23464003956897808,1.5,0.4,,,0.11732001978448904,0.0,1.0,1.0,,0.1654903741181411,0.6,-0.6,0.85,0.85,1,grid,1.4
0.05,0.05,0.6144254196514255,0.2781019005954795,1.5,0.4,,,0.13905095029773976,0.0,1.0,1.0,,0.1568608000884951,0.6,-0.6,0.95,0.95,1,grid,1.4
0.1,0.1,0.5629590164375691,0.055068415698364875,1.5,0.4,,,0.027534207849182438,0.0,1.0,1.0,,0.25231263917713104,0.6,-0.6,0.5,0.5,1,grid,0.4
0.1,0.1,0.5643639092668418,0.0740408089317261,1.5,0.4,,,0.03702040446586305,0.0,1.0,1.0,,0.24409969904386292,0.6,-0.6,0.7,0.7,1,grid,0.4
0.1,0.1,0.5677805769097992,0.0890374959002167,1.5,0.4,,,0.04451874795010835,0.0,1.0,1.0,,0.23803980976810038,0.6,-0.6,0.85,0.85,1,grid,0.4
0.1,0.1,0.5781762137196809,0.10200281996361188,1.5,0.4,,,0.05100140998180594,0.0,1.0,1.0,,0.2338534322867427,0.6,-0.6,0.95,0.95,1,grid,0.4
0.1,0.1,0.5634263636171415,0.07249276607396679,1.5,0.4,,,0.036246383036983396,0.0,1.0,1.0,,0.24516521095555194,0.6,-0.6,0.5,0.5,1,grid,0.5428571428571429
0.1,0.1,0.5658969504308784,0.098110204169409,1.5,0.4,,,0.0490551020847045,0.0,1.0,1.0,,0.23378263406417904,0.6,-0.6,0.7,0.7,1,grid,0.5428571428571429
0.1,0.1,0.5715172149514859,0.1190624784410261,1.5,0.4,,,0.05953123922051305,0.0,1.0,1.0,,0.22589592926966565,0.6,-0.6,0.85,0.85,1,grid,0.5428571428571429
0.1,0.1,0.5858629169902617,0.13829476635064522,1.5,0.4,,,0.06914738317532261,0.0,1.0,1.0,,0.2210154899855124,0.6,-0.6,0.95,0.95,1,grid,0.5428571428571429
0.1,0.1,0.5640268753387114,0.08799202260395607,1.5,0.4,,,0.043996011301978034,0.0,1.0,1.0,,0.2379926842353472,0.6,-0.6,0.5,0.5,1,grid,0.6857142857142857
0.1,0.1,0.5677476594350452,0.12005268755038861,1.5,0.4,,,0.06002634377519431,0.0,1.0,1.0,,0.22372110824274494,0.6,-0.6,0.7,0.7,1,grid,0.6857142857142857
0.1,0.1,0.5755868052667749,0.14708749688256798,1.5,0.4,,,0.07354374844128399,0.0,1.0,1.0,,0.21424862163661457,0.6,-0.6,0.85,0.85,1,grid,0.6857142857142857
0.1,0.1,0.5924005938536019,0.17236051123902443,1.5,0.4,,,0.08618025561951222,0.0,1.0,1.0,,0.2088359531508246,0.6,-0.6,0.95,0.95,1,grid,0.6857142857142857
0.1,0.1,0.5647529565914823,0.1012014330981706,1.5,0.4,,,0.0506007165490853,0.0,1.0,1.0,,0.23103883097469288,0.6,-0.6,0.5,0.5,1,grid,0.8285714285714285
0.1,0.1,0.5698303795385858,0.13936720740546807,1.5,0.4,,,0.06968360370273403,0.0,1.0,1.0,,0.21411600027908723,0.6,-0.6,0.7,0.7,1,grid,0.8285714285714285
0.1,0.1,0.5796884360145769,0.17233158503526091,1.5,0.4,,,0.08616579251763046,0.0,1.0,1.0,,0.20319399360402857,0.6,-0.6,0.85,0.85,1,grid,0.8285714285714285
