Delta,Delta_over_gamma,P1,S_perp,S_z,T_L,T_R,abs_C,control,hermiticity_err,min_eig,mu_L,mu_R,p0,p_L,p_R,pass_C,pass_P1,pass_pos,positive,scan,theta_R,trace
0.05,0.05,0.6376443066642388,0.11342886053288959,0.09457557652557907,1.2,0.6,0.05671443026644479,,0.0,0.24498001414835885,0.4,-0.4,0.3623556933357612,0.7,0.7,1,1,1,1,Delta,1.5707963267948966,0.9999999999999999
0.07924465962305566,0.07924465962305566,0.6366431958135398,0.11216596801125973,0.0916735675577326,1.2,0.6,0.05608298400562987,,0.0,0.24589016935419858,0.4,-0.4,0.36335680418646027,0.7,0.7,1,1,1,1,Delta,1.5707963267948966,1.0
0.125594321575479,0.125594321575479,0.635000684837778,0.10997419458926139,0.08713194529272844,1.2,0.6,0.054987097294630694,,0.0,0.24734640566896074,0.4,-0.4,0.364999315162222,0.7,0.7,1,1,1,1,Delta,1.5707963267948966,1.0
0.19905358527674863,0.19905358527674863,0.6322776518425134,0.1060863252107491,0.0800579118285778,1.2,0.6,0.05304316260537455,,0.0,0.24968662948826958,0.4,-0.4,0.3677223481574866,0.7,0.7,1,1,1,1,Delta,1.5707963267948966,1.0
0.3154786722400966,0.3154786722400966,0.6277519446173985,0.09916068516469319,0.06906778618252168,1.2,0.6,0.049580342582346594,,0.0,0.2534541207761493,0.4,-0.4,0.37224805538260164,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,1.0
0.49999999999999994,0.49999999999999994,0.6204073670774839,0.08733436515241126,0.05187796630031083,1.2,0.6,0.04366718257620563,,0.0,0.25941339233060134,0.4,-0.4,0.3795926329225161,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,1.0
0.7924465962305569,0.7924465962305569,0.6093389321049806,0.06952026357029267,0.02441533644927807,1.2,0.6,0.034760131785146337,,0.0,0.26782799587005046,0.4,-0.4,0.39066106789501936,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,1.0
1.2559432157547903,1.2559432157547903,0.5945406298510161,0.04800527770552491,-0.01999870919259572,1.2,0.6,0.024002638852762454,,0.0,0.27126812724372534,0.4,-0.4,0.40545937014898387,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,0.9999999999999999
1.9905358527674863,1.9905358527674863,0.5768724978165067,0.02817941770399494,-0.08868543265538659,1.2,0.6,0.01408970885199747,,0.0,0.24190887646092576,0.4,-0.4,0.4231275021834933,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,1.0
3.1547867224009662,3.1547867224009662,0.5578506744489425,0.014070446980182005,-0.18237129017196174,1.2,0.6,0.007035223490091003,,0.0,0.18746870138375166,0.4,-0.4,0.44214932555105735,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,0.9999999999999999
4.999999999999999,4.999999999999999,0.5410122070412233,0.006210463640670128,-0.2834459872615893,1.2,0.6,0.003105231820335064,,0.0,0.12874909526940626,0.4,-0.4,0.4589877929587768,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,1.0
7.92446596230557,7.92446596230557,0.5306603138361651,0.0027961191060522084,-0.35650994873284264,1.2,0.6,0.0013980595530261042,,0.0,0.08706970012273119,0.4,-0.4,0.46933968616383503,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,1.0
12.55943215754791,12.55943215754791,0.5269715992733635,0.0015083273208977045,-0.38519531738976465,1.2,0.6,0.0007541636604488523,,0.0,0.07088666439049968,0.4,-0.4,0.4730284007266366,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,1.0
19.905358527674863,19.905358527674863,0.526366521255801,0.0009273359429312066,-0.38995711437712893,1.2,0.6,0.0004636679714656033,,0.0,0.06820415212824082,0.4,-0.4,0.47363347874419903,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,1.0
31.54786722400968,31.54786722400968,0.5263292179190575,0.0005850127225172224,-0.39018744327712857,1.2,0.6,0.0002925063612586112,,0.0,0.06807066804193652,0.4,-0.4,0.4736707820809426,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,1.0
50.0,50.0,0.5263254235325943,0.0003693013862441653,-0.39018798384659287,1.2,0.6,0.00018465069312208264,,0.0,0.06806863245981044,0.4,-0.4,0.47367457646740574,0.7,0.7,0,1,1,1,Delta,1.5707963267948966,1.0
0.3,0.3,0.6351091468201027,0.0,-0.10931642670243863,1.2,0.6,0.0,,0.0,0.26289636005883177,0.4,-0.4,0.36489085317989733,0.7,0.7,0,1,1,1,theta_R,0.0,1.0
0.3,0.3,0.6341038124050442,0.04213941683718442,-0.09980722220744198,1.2,0.6,0.02106970841859221,,0.0,0.2628826989530531,0.4,-0.4,0.36589618759495596,0.7,0.7,0,1,1,1,theta_R,0.2617993877991494,1.0000000000000002
0.3,0.3,0.6316281238961676,0.07763003719160286,-0.07369613179264212,1.2,0.6,0.03881501859580143,,0.0,0.2622941065212336,0.4,-0.4,0.3683718761038323,0.7,0.7,0,1,1,1,theta_R,0.5235987755982988,1.0
0.3,0.3,0.6289165950929336,0.10180021096201876,-0.03702374423319088,1.2,0.6,0.05090010548100938,,0.0,0.2602964092186117,0.4,-0.4,0.3710834049070663,0.7,0.7,1,1,1,1,theta_R,0.7853981633974483,1.0
0.3,0.3,0.6271448620666528,0.11280828121566225,0.0030608542334285005,1.2,0.6,0.056404140607831124,,0.0,0.25714753152196207,0.4,-0.4,0.3728551379333472,0.7,0.7,1,1,1,1,theta_R,1.0471975511965976,1.0
0.3,0.3,0.6269467802092286,0.11138877439871743,0.040339912972925884,1.2,0.6,0.055694387199358715,,0.0,0.25423917777611366,0.4,-0.4,0.3730532197907715,0.7,0.7,1,1,1,1,theta_R,1.308996938995747,1.0
0.3,0.3,0.6283635956341742,0.10012074791651943,0.0705179237175581,1.2,0.6,0.05006037395825971,,0.0,0.2529507972356852,0.4,-0.4,0.37163640436582585,0.7,0.7,1,1,1,1,theta_R,1.5707963267948966,1.0
0.3,0.3,0.6310230949786471,0.08259856428635264,0.09151106252924562,1.2,0.6,0.04129928214317632,,0.0,0.2538739019563413,0.4,-0.4,0.3689769050213528,0.7,0.7,0,1,1,1,theta_R,1.832595714594046,1.0
0.3,0.3,0.6343488911148563,0.06258445696611796,0.10336478345941297,1.2,0.6,0.03129222848305898,,0.0,0.25675695489173783,0.4,-0.4,0.3656511088851437,0.7,0.7,0,1,1,1,theta_R,2.0943951023931953,1.0
0.3,0.3,0.6377198335848298,0.04320121951177578,0.1078680960552188,1.2,0.6,0.02160060975588789,,0.0,0.2607611398821335,0.4,-0.4,0.36228016641517025,0.7,0.7,0,1,1,1,theta_R,2.356194490192345,1.0
0.3,0.3,0.6405738021471898,0.02631145317869302,0.10786352706073671,1.2,0.6,0.01315572658934651,,0.0,0.26477376515434414,0.4,-0.4,0.35942619785281016,0.7,0.7,0,1,1,1,theta_R,2.617993877991494,1.0
0.3,0.3,0.6424716771492751,0.012250743724759754,0.10634711973181604,1.2,0.6,0.006125371862379877,,0.0,0.26771063283691304,0.4,-0.4,0.35752832285072483,0.7,0.7,0,1,1,1,theta_R,2.8797932657906435,1.0
0.3,0.3,0.6431359032487478,1.936997591540435e-15,0.10556492838699211,1.2,0.6,9.684987957702174e-16,,0.0,0.26878548743087777,0.4,-0.4,0.35686409675125214,0.7,0.7,0,1,1,1,theta_R,3.141592653589793,1.0
0.3,0.3,0.6283635956341742,0.10012074791651943,0.0705179237175581,1.2,0.6,0.05006037395825971,near_deg_noncollinear,0.0,0.2529507972356852,0.4,-0.4,0.37163640436582585,0.7,0.7,1,1,1,1,control,1.5707963267948966,1.0
0.3,0.3,0.6351091468201027,0.0,-0.10931642670243863,1.2,0.6,0.0,near_deg_collinear,0.0,0.26289636005883177,0.4,-0.4,0.36489085317989733,0.7,0.7,0,1,1,1,control,0.0,1.0
20.0,20.0,0.5263652756858975,0.0009229144133706311,-0.38996616472161877,1.2,0.6,0.00046145720668531553,large_Delta_noncollinear,0.0,0.0681990094284694,0.4,-0.4,0.4736347243141025,0.7,0.7,0,1,1,1,control,1.5707963267948966,1.0
20.0,20.0,0.9999138424351046,0.0,-0.9999138135347518,1.2,0.6,0.0,large_Delta_collinear,0.0,1.4450176349597665e-08,0.4,-0.4,8.615756489550693e-05,0.7,0.7,0,1,1,1,control,0.0,1.0
2.0,2.0,0.5766796676814709,0.028001175165086985,-0.08953322406497152,1.2,0.6,0.014000587582543493,mid_Delta_noncollinear,0.0,0.2414349726265333,0.4,-0.4,0.42332033231852906,0.7,0.7,0,1,1,1,control,1.5707963267948966,1.0
