Delta,P1,W_A,W_acc2,W_coh,W_inc,abs_C_after,abs_C_before,alpha,g,kind,tau,theta,theta_R,window,z_A
0.05,0.6144254196514255,2.419169461162496e-06,0.0,2.419169461162496e-06,0.0,0.1388771728180351,0.13905095029773976,0.0,8.0,oneshot_theta,0.00625,0.05,1.4,boosted,-0.9981795115451454
0.05,0.6144254196514255,1.699246543969968e-05,0.0,1.699246543969968e-05,0.0,0.13783868046529088,0.13905095029773976,0.0,8.0,oneshot_theta,0.016517857142857143,0.13214285714285715,1.4,boosted,-0.9873477451815108
0.05,0.6144254196514255,4.5164294848895614e-05,0.0,4.5164294848895614e-05,0.0,0.13587065149181707,0.13905095029773976,0.0,8.0,oneshot_theta,0.026785714285714288,0.2142857142857143,1.4,boosted,-0.9670436784239248
0.05,0.6144254196514255,8.779524097659586e-05,0.0,8.779524097659586e-05,0.0,0.13298635760766858,0.13905095029773976,0.0,8.0,oneshot_theta,0.03705357142857143,0.29642857142857143,1.4,boosted,-0.9378140824589176
0.05,0.6144254196514255,0.00014618434013604354,0.0,0.00014618434013604354,0.0,0.1292052494981046,0.13905095029773976,0.0,8.0,oneshot_theta,0.04732142857142857,0.37857142857142856,1.4,boosted,-0.9004460853558757
0.05,0.6144254196514255,0.00022209520214635237,0.0,0.00022209520214635237,0.0,0.12455282565486134,0.13905095029773976,0.0,8.0,oneshot_theta,0.05758928571428571,0.4607142857142857,1.4,boosted,-0.8559459753800142
0.05,0.6144254196514255,0.00031777188317272387,0.0,0.00031777188317272387,0.0,0.11906046042309976,0.13905095029773976,0.0,8.0,oneshot_theta,0.06785714285714287,0.5428571428571429,1.4,boosted,-0.8055121025083464
0.05,0.6144254196514255,0.00043591907031727555,0.0,0.00043591907031727555,0.0,0.11276519242362001,0.13905095029773976,0.0,8.0,oneshot_theta,0.078125,0.625,1.4,boosted,-0.750502607887698
0.05,0.6144254196514255,0.0005796008234484285,0.0,0.0005796008234484285,0.0,0.10570947477715043,0.13905095029773976,0.0,8.0,oneshot_theta,0.08839285714285715,0.7071428571428572,1.4,boosted,-0.6923988502529114
0.05,0.6144254196514255,0.000751981454434042,0.0,0.000751981454434042,0.0,0.09794088881511245,0.13905095029773976,0.0,8.0,oneshot_theta,0.0986607142857143,0.7892857142857144,1.4,boosted,-0.6327655142005821
0.05,0.6144254196514255,0.0009557939183702625,0.0,0.0009557939183702625,0.0,0.08951182320749793,0.13905095029773976,0.0,8.0,oneshot_theta,0.10892857142857143,0.8714285714285714,1.4,boosted,-0.5732084745684657
0.05,0.6144254196514255,0.0011923932479426054,0.0,0.0011923932479426054,0.0,0.08047912067170922,0.13905095029773976,0.0,8.0,oneshot_theta,0.11919642857142858,0.9535714285714286,1.4,boosted,-0.5153315515968456
0.05,0.6144254196514255,0.0014602839418873554,0.0,0.0014602839418873554,0.0,0.07090369464483698,0.13905095029773976,0.0,8.0,oneshot_theta,0.12946428571428573,1.0357142857142858,1.4,boosted,-0.46069332141846153
0.05,0.6144254196514255,0.0017531871820470391,0.0,0.0017531871820470391,0.0,0.06085011850440496,0.13905095029773976,0.0,8.0,oneshot_theta,0.13973214285714286,1.1178571428571429,1.4,boosted,-0.4107651449336317
0.05,0.6144254196514255,0.0020581109738788336,0.0,0.0020581109738788336,0.0,0.05038619010773651,0.13905095029773976,0.0,8.0,oneshot_theta,0.15,1.2,1.4,boosted,-0.36689154531713875
0.05,0.6144254196514255,0.002942921296397633,0.0,0.0,0.002942921296397633,0.0968777300135345,0.13905095029773976,0.5,8.0,oneshot_alpha_half,0.1,0.8,1.4,boosted,0.05885842592795265
0.3,0.6283635956341742,1.881237397077795e-06,0.0,1.881237397077795e-06,0.0,0.04999781152628128,0.05006037395825971,0.0,8.0,oneshot_theta,0.00625,0.05,1.5707963267948966,original_gate1,-0.9982542517195383
0.3,0.6283635956341742,1.321142253419838e-05,0.0,1.321142253419838e-05,0.0,0.04962393910455492,0.05006037395825971,0.0,8.0,oneshot_theta,0.016517857142857143,0.13214285714285715,1.5707963267948966,original_gate1,-0.9878671836481911
0.3,0.6283635956341742,3.5102054108993026e-05,0.0,3.5102054108993026e-05,0.0,0.048915419916718834,0.05006037395825971,0.0,8.0,oneshot_theta,0.026785714285714288,0.2142857142857143,1.5707963267948966,original_gate1,-0.9683967005842028
0.3,0.6283635956341742,6.820075782780766e-05,0.0,6.820075782780766e-05,0.0,0.047877031972322744,0.05006037395825971,0.0,8.0,oneshot_theta,0.03705357142857143,0.29642857142857143,1.5707963267948966,original_gate1,-0.9403671260167699
0.3,0.6283635956341742,0.00011348847841893828,0.0,0.00011348847841893828,0.0,0.04651577780227872,0.05006037395825971,0.0,8.0,oneshot_theta,0.04732142857142857,0.37857142857142856,1.5707963267948966,original_gate1,-0.9045332724633627
0.3,0.6283635956341742,0.00017230538996715894,0.0,0.00017230538996715894,0.0,0.04484083723620288,0.05006037395825971,0.0,8.0,oneshot_theta,0.05758928571428571,0.4607142857142857,1.5707963267948966,original_gate1,-0.8618601150129266
0.3,0.6283635956341742,0.000246375822335515,0.0,0.000246375822335515,0.0,0.04286350549680377,0.05006037395825971,0.0,8.0,oneshot_theta,0.06785714285714287,0.5428571428571429,1.5707963267948966,original_gate1,-0.8134968053704255
0.3,0.6283635956341742,0.0003378187023256596,0.0,0.0003378187023256596,0.0,0.040597117028788064,0.05006037395825971,0.0,8.0,oneshot_theta,0.078125,0.625,1.5707963267948966,original_gate1,-0.7607457261823253
0.3,0.6283635956341742,0.0004491178460315603,0.0,0.0004491178460315603,0.0,0.038056955575954746,0.05006037395825971,0.0,8.0,oneshot_theta,0.08839285714285715,0.7071428571428572,1.5707963267948966,original_gate1,-0.7050274189836201
0.3,0.6283635956341742,0.0005830058205871846,0.0,0.0005830058205871846,0.0,0.03526015111288716,0.05006037395825971,0.0,8.0,oneshot_theta,0.0986607142857143,0.7892857142857144,1.5707963267948966,original_gate1,-0.6478423302268472
0.3,0.6283635956341742,0.0007421830506110838,0.0,0.0007421830506110838,0.0,0.032225564326300145,0.05006037395825971,0.0,8.0,oneshot_theta,0.10892857142857143,0.8714285714285714,1.5707963267948966,original_gate1,-0.5907304055398801
0.3,0.6283635956341742,0.0009287512283265797,0.0,0.0009287512283265797,0.0,0.028973659425060114,0.05006037395825971,0.0,8.0,oneshot_theta,0.11919642857142858,0.9535714285714286,1.5707963267948966,original_gate1,-0.5352296203046436
0.3,0.6283635956341742,0.0011432017838923058,0.0,0.0011432017838923058,0.0,0.02552636613660375,0.05006037395825971,0.0,8.0,oneshot_theta,0.12946428571428573,1.0357142857142858,1.5707963267948966,original_gate1,-0.48283456329287266
0.3,0.6283635956341742,0.0013828157818371767,0.0,0.0013828157818371767,0.0,0.02190693182040372,0.05006037395825971,0.0,8.0,oneshot_theta,0.13973214285714286,1.1178571428571429,1.5707963267948966,original_gate1,-0.434956188666248
0.3,0.6283635956341742,0.0016395101596146987,0.0,0.0016395101596146987,0.0,0.018139764695777535,0.05006037395825971,0.0,8.0,oneshot_theta,0.15,1.2,1.5707963267948966,original_gate1,-0.39288382018519147
0.3,0.6283635956341742,0.010886552010568429,0.0,0.0,0.010886552010568429,0.03487739840914766,0.05006037395825971,0.5,8.0,oneshot_alpha_half,0.1,0.8,1.5707963267948966,original_gate1,0.03628850670189476
