C_after_wait,C_post_collision,P_erg,T_period,W_A_fp,abs_C_fp,abs_C_history_max,abs_C_history_min,converged,g,kind,n_iter,regenerates,tau,theta,window
0.14109691053793225,0.13828436623802598,0.00010083332624163943,0.4,4.0333330496655774e-05,0.1382843662175676,0.13905095029773976,0.1341666743768383,1,8.0,stroboscopic,95,1,0.025,0.2,boosted
0.13912452943031228,0.12814217734379818,0.0003991148842195647,0.4,0.00015964595368782588,0.1281421773143316,0.13905095029773976,0.11930480500815203,1,8.0,stroboscopic,85,1,0.05,0.4,boosted
0.11446374987764196,0.08754670480431209,0.0007968953638973001,0.4,0.00031875814555892005,0.08754670478102708,0.13905095029773976,0.08245101870946446,1,8.0,stroboscopic,62,1,0.0875,0.7,boosted
0.0809622576897139,0.04374409451286304,0.0007013648331953352,0.4,0.0002805459332781341,0.04374409450499115,0.13905095029773976,0.04218016319190871,1,8.0,stroboscopic,48,1,0.125,1.0,boosted
0.14102578092086449,0.1382146544711992,7.460592576297638e-05,0.5404267006407084,4.031903430833095e-05,0.13821465444097178,0.13905095029773976,0.13502036169251844,1,8.0,stroboscopic,70,1,0.025,0.2,boosted
0.14204354146000947,0.13083076546778658,0.00031038436420497437,0.5404267006407084,0.0001677399978777583,0.1308307654394996,0.13905095029773976,0.1228319571276732,1,8.0,stroboscopic,66,1,0.05,0.4,boosted
0.12839675136086454,0.09820325213618855,0.0007701975672990528,0.5404267006407084,0.00041623533013692706,0.09820325211406018,0.13905095029773976,0.09144350962829041,1,8.0,stroboscopic,51,1,0.0875,0.7,boosted
0.10208487385165912,0.055156692732635494,0.0008858406994909521,0.5404267006407084,0.0004787319665191525,0.05515669272638216,0.13905095029773976,0.052835605439046536,1,8.0,stroboscopic,39,1,0.125,1.0,boosted
0.14086848485494333,0.13806049386216512,5.512340629959482e-05,0.7301525469135045,4.024849550419707e-05,0.13806049384044866,0.13905095029773976,0.13559657258260083,1,8.0,stroboscopic,53,1,0.025,0.2,boosted
0.1434380727966831,0.13211521389109152,0.00023576289846844942,0.7301525469135045,0.0001721428807844483,0.13211521386627126,0.13905095029773976,0.12527260120237454,1,8.0,stroboscopic,51,1,0.05,0.4,boosted
0.13815611910786046,0.10566762831465282,0.0006837398852657892,0.7301525469135045,0.0004992344186531633,0.10566762829740334,0.13905095029773976,0.09826194259020969,1,8.0,stroboscopic,42,1,0.0875,0.7,boosted
0.12035246055406561,0.06502671194681754,0.0009838174460176895,0.7301525469135045,0.0007183368139077551,0.06502671193253753,0.13905095029773976,0.06165238130652661,1,8.0,stroboscopic,32,1,0.125,1.0,boosted
0.140668961244544,0.13786494744537553,4.0698541702855263e-05,0.9864848297321881,4.014849398208953e-05,0.13786494742927222,0.13905095029773976,0.13603797523601552,1,8.0,stroboscopic,40,1,0.025,0.2,boosted
0.14386911787738596,0.13251223271020104,0.00017641694748379464,0.9864848297321881,0.0001740326424004235,0.13251223269647738,0.13905095029773976,0.1269504330040542,1,8.0,stroboscopic,40,1,0.05,0.4,boosted
0.14418581707449857,0.11027939569880578,0.0005689143332317674,0.9864848297321881,0.0005612253591503414,0.11027939568424112,0.13905095029773976,0.10247501804105368,1,8.0,stroboscopic,34,1,0.0875,0.7,boosted
0.13451862869309467,0.07268072525976305,0.000983332664820108,0.9864848297321881,0.0009700427564251629,0.07268072524802334,0.13905095029773976,0.06793500949784163,1,8.0,stroboscopic,27,1,0.125,1.0,boosted
0.14044094445648972,0.13764147581529443,3.0033025837824375e-05,1.3328068544106935,4.002822269534578e-05,0.13764147580213074,0.13905095029773976,0.1362791890038784,1,8.0,stroboscopic,30,1,0.025,0.2,boosted
0.1436831438977678,0.13234093933162294,0.00013071304086856905,1.3328068544106935,0.0001742152368304939,0.13234093931534543,0.13905095029773976,0.1280744064982819,1,8.0,stroboscopic,30,1,0.05,0.4,boosted
0.14714710783280602,0.11254431580119974,0.0004502915616089112,1.3328068544106935,0.0006001516797956519,0.11254431578756421,0.13905095029773976,0.10621747211242327,1,8.0,stroboscopic,27,1,0.0875,0.7,boosted
0.14393130169761575,0.07776641419138784,0.0008965540515897999,1.3328068544106935,0.0011949333853085637,0.07776641418502345,0.13905095029773976,0.07315497258872075,1,8.0,stroboscopic,23,1,0.125,1.0,boosted
0.14018580075040007,0.13739141800045235,2.2152111423422173e-05,1.8007110273012303,3.9889551318161856e-05,0.13739141799355206,0.13905095029773976,0.13627918900387836,1,8.0,stroboscopic,23,1,0.025,0.2,boosted
0.14308296144946897,0.13178813469298478,9.618754795662036e-05,1.8007110273012303,0.0001732059782945522,0.13178813468188968,0.13905095029773976,0.12807440649828183,1,8.0,stroboscopic,23,1,0.05,0.4,boosted
0.14773458795828945,0.11299364538960203,0.0003428842358881663,1.8007110273012303,0.0006174354246515773,0.11299364538416516,0.13905095029773976,0.10635203296970991,1,8.0,stroboscopic,22,1,0.0875,0.7,boosted
0.14862542323075523,0.08030265888076207,0.0007534592716781976,1.8007110273012303,0.001356762419133284,0.08030265887604657,0.13905095029773976,0.07512954907902482,1,8.0,stroboscopic,19,1,0.125,1.0,boosted
0.1399084608986744,0.13711960648170843,1.6332969956437772e-05,2.4328807982293603,3.973616898507448e-05,0.13711960647442034,0.13905095029773976,0.13627918900387825,1,8.0,stroboscopic,17,1,0.025,0.2,boosted
0.14221236277721255,0.1309862602177311,7.044982059396697e-05,2.4328807982293603,0.00017139601576176557,0.13098626021328777,0.13905095029773976,0.12807440649828197,1,8.0,stroboscopic,18,1,0.05,0.4,boosted
0.14663479195834586,0.11215247501199982,0.00025367596193673765,2.4328807982293603,0.0006171633767682511,0.11215247500673334,0.13905095029773976,0.10635203296970991,1,8.0,stroboscopic,17,1,0.0875,0.7,boosted
0.1493085246633433,0.08067174016104191,0.0005907701354860614,2.4328807982293603,0.0014372733187913963,0.08067174015957587,0.13905095029773976,0.07512954907902485,1,8.0,stroboscopic,16,1,0.125,1.0,boosted
0.13962946828068323,0.13684617514347117,1.204156860887184e-05,3.2869843570980657,3.958044765228486e-05,0.13684617514265918,0.13905095029773976,0.13627918900387834,1,8.0,stroboscopic,14,1,0.025,0.2,boosted
0.1412289431305609,0.13008047074144163,5.14790757494381e-05,3.2869843570980657,0.00016921091670626942,0.1300804707396135,0.13905095029773976,0.12807440649828186,1,8.0,stroboscopic,14,1,0.05,0.4,boosted
0.14458852622449894,0.11058740465361752,0.0001842686376763627,3.2869843570980657,0.0006056881295459755,0.11058740465268331,0.13905095029773976,0.10635203296970991,1,8.0,stroboscopic,14,1,0.0875,0.7,boosted
0.1472975798265358,0.07958522202896992,0.00043993332771362944,3.2869843570980657,0.001446053966360797,0.07958522202828443,0.13905095029773976,0.07512954907902486,1,8.0,stroboscopic,13,1,0.125,1.0,boosted
0.13938476214361945,0.13660634683728645,8.881751687609833e-06,4.440935277910319,3.944328439914602e-05,0.13660634683707154,0.13905095029773976,0.13627918900387823,1,8.0,stroboscopic,11,1,0.025,0.2,boosted
0.14032187747705754,0.1292450079493065,3.763689374593612e-05,4.440935277910319,0.00016714300918728998,0.12924500794876603,0.13905095029773976,0.12807440649828203,1,8.0,stroboscopic,11,1,0.05,0.4,boosted
0.14238233805871772,0.10890001887146832,0.00013297522510700223,4.440935277910319,0.0005905343682657522,0.10890001887107828,0.13905095029773976,0.1063520329697099,1,8.0,stroboscopic,11,1,0.0875,0.7,boosted
0.14425489160948093,0.07794125056935451,0.0003186551228689427,4.440935277910319,0.001415126776635535,0.07794125056927945,0.13905095029773976,0.07512954907902475,1,8.0,stroboscopic,11,1,0.125,1.0,boosted
0.139207948650732,0.13643305784242107,6.557337248867812e-06,6.0,3.934402349320687e-05,0.1364330578424022,0.13905095029773976,0.13627918900387823,1,8.0,stroboscopic,9,1,0.025,0.2,boosted
0.13965196934396845,0.1286279816984132,2.7600264975246223e-05,6.0,0.00016560158985147734,0.12862798169836212,0.13905095029773976,0.12807440649828192,1,8.0,stroboscopic,9,1,0.05,0.4,boosted
0.14064975692427512,0.10757486772699193,9.631623548675739e-05,6.0,0.0005778974129205444,0.10757486772694556,0.13905095029773976,0.10635203296970996,1,8.0,stroboscopic,9,1,0.0875,0.7,boosted
0.14160515364702558,0.07650959103829957,0.00022976888366180263,6.0,0.0013786133019708159,0.07650959103828679,0.13905095029773976,0.07512954907902482,1,8.0,stroboscopic,9,1,0.125,1.0,boosted
