Delta,I,J_Q_L,J_Q_R,P1,P_el,V,abs_C,min_eig,theta_R
0.05,0.23863253575048876,0.31559598038306264,-0.17241645893276958,0.3337504783930876,0.14317952145029325,-0.6,0.0,0.16259006726639944,0.0
0.13333333333333333,0.2386746197158685,0.3246301495814017,-0.1814253777518805,0.3349716561576115,0.1432047718295211,-0.6,0.0,0.1560049960322708,0.0
0.21666666666666667,0.23759062595471545,0.33212423773227917,-0.18956986215944982,0.33731769501725256,0.14255437557282927,-0.6,0.0,0.14983636126522637,0.0
0.3,0.23547192435109135,0.3380916396240675,-0.1968084850134128,0.3408151055961785,0.1412831546106548,-0.6,0.0,0.14400777274427337,0.0
0.3833333333333333,0.2323966859299583,0.34254415251372716,-0.2031061409557525,0.3455004790833437,0.13943801155797497,-0.6,0.0,0.1384505047859698,0.0
0.4666666666666666,0.22843188014900684,0.34549231184430934,-0.20843318375490544,0.3514174551342927,0.1370591280894041,-0.6,0.0,0.13310361626071918,0.0
0.55,0.22363586002546013,0.3469469449577139,-0.21276542894243777,0.35861259606653745,0.13418151601527606,-0.6,0.0,0.12791407455558695,0.0
0.6333333333333333,0.21806141645215807,0.346921855777454,-0.21608500590615912,0.3671301514424632,0.13083684987129485,-0.6,0.0,0.12283693850638715,0.0
0.7166666666666667,0.2117591650138828,0.34543748904576393,-0.21838199003743441,0.37700578938186935,0.1270554990083297,-0.6,0.0,0.11783561793379614,0.0
0.8,0.20478108724664573,0.3425253249884067,-0.21965667264041933,0.38825951718572693,0.12286865234798744,-0.6,0.0,0.11288218794146149,0.0
0.05,0.23461719555141886,0.31027859543399694,-0.16950827810314556,0.3357341891264744,0.1407703173308513,-0.6,0.018086242716314035,0.14950965733248991,0.2617993877991494
0.13333333333333333,0.23481931386661042,0.31935445085647796,-0.17846286253651172,0.3361018653808935,0.14089158831996626,-0.6,0.018945853847212882,0.14684653385888144,0.2617993877991494
0.21666666666666667,0.23405752359172527,0.32710913289312504,-0.18667461873809013,0.33737001301017855,0.14043451415503516,-0.6,0.019701308433312845,0.14333487292720942,0.2617993877991494
0.3,0.23241612555790422,0.33356020220375654,-0.19411052686901403,0.3395510625761551,0.13944967533474253,-0.6,0.020368408298208646,0.13942071657960087,0.2617993877991494
0.3833333333333333,0.22996614093371565,0.3387217441941243,-0.2007420596338948,0.34266919980885,0.13797968456022938,-0.6,0.020963036674454243,0.135342953851545,0.2617993877991494
0.4666666666666666,0.22676745566672207,0.34260501646454683,-0.20654454306451364,0.3467571246257069,0.13606047340003324,-0.6,0.021500573354237777,0.13121186925386102,0.2617993877991494
0.55,0.22287138955970323,0.345220098637765,-0.21149726490194296,0.3518520483885379,0.13372283373582194,-0.6,0.0219953416588106,0.1270718032334036,0.2617993877991494
0.6333333333333333,0.21832353595944545,0.34657838111472794,-0.21558425953906052,0.35799101109475995,0.13099412157566726,-0.6,0.022460102311721197,0.12293566339256454,0.2617993877991494
0.7166666666666667,0.21316673255814428,0.34669570865491334,-0.21879566912002635,0.36520562990506367,0.12790003953488657,-0.6,0.022905610655747807,0.11880269201187894,0.2617993877991494
0.8,0.20744402144314614,0.34559595695106105,-0.22112954408517363,0.373516453900554,0.12446641286588768,-0.6,0.023340254969527293,0.11466772641599385,0.2617993877991494
0.05,0.22335381583428365,0.29535578198307433,-0.16134349248250401,0.3402944069016533,0.13401228950057018,-0.6,0.03549148376631092,0.13463574682885804,0.5235987755982988
0.13333333333333333,0.22379059471540783,0.3042530593506042,-0.1699787025213595,0.3388308142590576,0.13427435682924468,-0.6,0.03671421837064584,0.13254790307749884,0.5235987755982988
0.21666666666666667,0.22364539726238686,0.3123374117648791,-0.17815017340744693,0.3377865597063202,0.1341872383574321,-0.6,0.03771614089534249,0.1303820945517428,0.5235987755982988
0.3,0.2229763945542004,0.31962468035013175,-0.18583884361761158,0.33716045222849517,0.13378583673252023,-0.6,0.03852151708234433,0.12819306304101125,0.5235987755982988
0.3833333333333333,0.22182796831834464,0.3261214390725229,-0.19302465808151625,0.3369674576945018,0.13309678099100677,-0.6,0.03915694627173265,0.126010465389418,0.5235987755982988
0.4666666666666666,0.22023349986052385,0.3318267536992212,-0.1996866537829068,0.3372346074994512,0.1321400999163143,-0.6,0.039649985644261566,0.12384402236145624,0.5235987755982988
0.55,0.21821833640622504,0.3367346886692134,-0.20580368682547828,0.33799657954550316,0.13093100184373502,-0.6,0.04002785330246855,0.1216894172215826,0.5235987755982988
0.6333333333333333,0.21580267060697617,0.3408371936397762,-0.2113555912755905,0.339291281843935,0.12948160236418568,-0.6,0.04031629037679669,0.1195337960710304,0.5235987755982988
0.7166666666666667,0.21300415445808368,0.3441270687151883,-0.2163245760403378,0.34115567140979963,0.1278024926748502,-0.6,0.04053863317028469,0.1173604311887725,0.5235987755982988
0.8,0.2098401466014712,0.34660078684986245,-0.2206966988889799,0.34362194984169453,0.12590408796088273,-0.6,0.04071511791462183,0.11515240571030246,0.5235987755982988
0.05,0.20641780336856802,0.27290353544813484,-0.14905285342699398,0.3451977645743134,0.1238506820211408,-0.6,0.050943143613669035,0.12070034047506646,0.7853981633974483
0.13333333333333333,0.2068136189761775,0.2809893025762582,-0.1569011311905517,0.3420917346032739,0.12408817138570649,-0.6,0.051941947429735354,0.118610131796501,0.7853981633974483
0.21666666666666667,0.20704580640534875,0.28880283048091004,-0.16457534663770085,0.33895953251396427,0.12422748384320925,-0.6,0.05262917574268172,0.11664336103925664,0.7853981633974483
0.3,0.2071320323577885,0.2963443973894058,-0.1720651779747327,0.3358108552144393,0.12427921941467308,-0.6,0.05303256294573673,0.11481993752979971,0.7853981633974483
0.3833333333333333,0.20707612251632798,0.3035982337943916,-0.17935256028459468,0.3326744774752566,0.12424567350979679,-0.6,0.05318546532478013,0.1131512942143125,0.7853981633974483
0.4666666666666666,0.2068718890912261,0.31053598762599854,-0.1864128541712629,0.32959291389897616,0.12412313345473566,-0.6,0.05312451306442448,0.11164143537106098,0.7853981633974483
0.55,0.2065069674537166,0.3171208777318199,-0.1932166972595899,0.3266169444283247,0.12390418047222995,-0.6,0.05288737470982353,0.11028799057464335,0.7853981633974483
0.6333333333333333,0.2059662515227932,0.323311911591768,-0.19973216067809185,0.3238005968466232,0.1235797509136759,-0.6,0.0525108342026068,0.10908310761122571,0.7853981633974483
0.7166666666666667,0.20523468079739599,0.32906769945483716,-0.20592689097639966,0.32119696306050693,0.12314080847843759,-0.6,0.05202929302803765,0.10801415980142738,0.7853981633974483
0.8,0.20429928811891437,0.33434958602040665,-0.21177001314905822,0.31885500886024776,0.12257957287134862,-0.6,0.05147372808405512,0.10706433326149728,0.7853981633974483
0.05,0.18534017249629856,0.24494706903565303,-0.1337429655378739,0.34936759936540057,0.11120410349777914,-0.6,0.06302037533995108,0.10761573483303719,1.0471975511965976
0.13333333333333333,0.1853572771471462,0.2515712885241927,-0.1403569222359051,0.34534905108425384,0.11121436628828772,-0.6,0.06336290472311082,0.10577580235324463,1.0471975511965976
0.21666666666666667,0.1855398654161719,0.2583284368769675,-0.14700451762726433,0.34102126960531587,0.11132391924970314,-0.6,0.0633644532603323,0.10399842915621538,1.0471975511965976
0.3,0.18586785479446571,0.2652007178349859,-0.15368000495830655,0.3364169058845441,0.11152071287667943,-0.6,0.06305568302339926,0.10229607615059721,1.0471975511965976
0.3833333333333333,0.18630881781628006,0.2721505808139994,-0.16036529012423142,0.33158622883334055,0.11178529068976803,-0.6,0.06247457701801356,0.10067890614444676,1.0471975511965976
0.4666666666666666,0.18682260107606177,0.2791256400615563,-0.16703207941591924,0.3265910900621555,0.11209356064563707,-0.6,0.06166333610888457,0.09915518862043607,1.0471975511965976
0.55,0.18736576531815843,0.2860641680973769,-0.1736447089064817,0.32149895217087565,0.11241945919089506,-0.6,0.06066545440123181,0.09773171706640224,1.0471975511965976
0.6333333333333333,0.1878953605710657,0.2929003779055208,-0.18016316156288142,0.31637767035335174,0.11273721634263942,-0.6,0.05952326688331925,0.09641411689482803,1.0471975511965976
0.7166666666666667,0.18837177432977711,0.29956894111815024,-0.1865458765202839,0.3112914282825177,0.11302306459786626,-0.6,0.05827612021971082,0.09520699829414847,1.0471975511965976
0.8,0.1887605964327434,0.3060084543324392,-0.19275209647279296,0.3062979524674114,0.11325635785964604,-0.6,0.056959189516102106,0.09411396455446955,1.0471975511965976
0.05,0.16159377922752985,0.21344100457233378,-0.116484737035816,0.35266686398552016,0.09695626753651791,-0.6,0.07065498239420728,0.09552808828939546,1.308996938995747
0.13333333333333333,0.161056271677326,0.21824273635232,-0.12160897334592449,0.34848519688491897,0.0966337630063956,-0.6,0.07009742319124486,0.09438650273798838,1.308996938995747
0.21666666666666667,0.16086209432938567,0.22337450641133647,-0.12685724981370508,0.3438859563797919,0.0965172565976314,-0.6,0.06922397196974307,0.09321166074386743,1.308996938995747
0.3,0.16096670639419744,0.22880449100194145,-0.13222446716542302,0.3389200887183852,0.09658002383651847,-0.6,0.06807031539395682,0.09201349552597252,1.308996938995747
0.3833333333333333,0.16131623200230083,0.23448171917337113,-0.1376919799719909,0.33365160424548446,0.0967897392013805,-0.6,0.06667875819797847,0.09080161616547516,1.308996938995747
0.4666666666666666,0.16185232978554032,0.24034182894163164,-0.14323043107030742,0.3281516789077654,0.09711139787132418,-0.6,0.06509482273047129,0.08958544321807062,1.308996938995747
0.55,0.1625166302088993,0.24631309625495176,-0.1488031181296122,0.32249310984375257,0.09750997812533958,-0.6,0.06336414522266096,0.08837429850791845,1.308996938995747
0.6333333333333333,0.1632542877534157,0.25232193808622566,-0.154369365434176,0.3167457302131951,0.09795257265204942,-0.6,0.061529975956986074,0.08717739416239567,1.308996938995747
0.7166666666666667,0.16401644638485408,0.25829737351308124,-0.15988750568216853,0.3109730873103097,0.09840986783091245,-0.6,0.059631421413166553,0.08600371670070933,1.308996938995747
0.8,0.16476163287217263,0.26417422429901427,-0.1653172445757108,0.30523041725434275,0.09885697972330358,-0.6,0.057702420986235466,0.08486183722551126,1.308996938995747
0.05,0.13672140166286817,0.1804348955575676,-0.09840205455984655,0.35525512012172883,0.0820328409977209,-0.6,0.07326105176077866,0.08466789591559992,1.5707963267948966
0.13333333333333333,0.13567424475605785,0.183426596182653,-0.10202204932901843,0.3514940900169863,0.08140454685363471,-0.6,0.07174481447254537,0.08467831617677302,1.5707963267948966
0.21666666666666667,0.13498601225693557,0.1867375239525777,-0.10574591659841638,0.3473632215301074,0.08099160735416135,-0.6,0.06995507281818313,0.08462738239113465,1.5707963267948966
0.3,0.13459990361349544,0.19032191760214107,-0.10956197543404426,0.3429218582176448,0.08075994216809726,-0.6,0.06793355807875665,0.08452400680080403,1.5707963267948966
0.3833333333333333,0.13445322849350838,0.19411789314090605,-0.11344595604480101,0.3382374513912435,0.08067193709610503,-0.6,0.06572682130892926,0.08437749239365325,1.5707963267948966
0.4666666666666666,0.1344821407968016,0.19805354861573007,-0.11736426413764933,0.3333802865258062,0.08068928447808095,-0.6,0.06338290738963964,0.08419742296240731,1.5707963267948966
0.55,0.13462572415016538,0.20205302014579363,-0.12127758565569434,0.3284187867703279,0.08077543449009923,-0.6,0.060948418619131986,0.08399349958599456,1.5707963267948966
0.6333333333333333,0.13482905689407343,0.20604175731914356,-0.1251443231826996,0.3234158544302229,0.08089743413644405,-0.6,0.05846623916500969,0.08377531698372473,1.5707963267948966
0.7166666666666667,0.1350451310021763,0.2099505804446466,-0.1289235018433407,0.3184264411169036,0.08102707860130577,-0.6,0.055974027514120776,0.08355210056466195,1.5707963267948966
0.8,0.135235701501625,0.2137183780281732,-0.13257695712719839,0.3134963056243607,0.081141420900975,-0.6,0.053503445259030016,0.08333243999980931,1.5707963267948966
0.05,0.11231765386387083,0.1480471783759506,-0.08065658605762813,0.3573000867147348,0.06739059231832249,-0.6,0.07070784939120779,0.07524470073610656,1.832595714594046
0.13333333333333333,0.11098341237383395,0.149557144306916,-0.08296709688261547,0.35434536074641515,0.06659004742430037,-0.6,0.0683693655189666,0.07677061545927344,1.832595714594046
0.21666666666666667,0.10989781877964017,0.15123008915046754,-0.08529139788268358,0.35119989437363164,0.0659386912677841,-0.6,0.0657808988234461,0.07832430020371223,1.832595714594046
0.3,0.10899886790627253,0.15300327201867478,-0.08760395127491136,0.3479263072867268,0.06539932074376352,-0.6,0.06298610502673528,0.07991782653799356,1.832595714594046
0.3833333333333333,0.10822094682523276,0.15480023362879367,-0.089867665533654,0.34459215956402894,0.06493256809513966,-0.6,0.06003226489384239,0.08156379366216779,1.832595714594046
0.4666666666666666,0.10749915414822232,0.15653666590702192,-0.09203717341808822,0.34126554315548824,0.06449949248893339,-0.6,0.05696732405454113,0.08327501228013953,1.832595714594046
0.55,0.10677295407461487,0.1581261512020767,-0.09406237875730807,0.3380112452043871,0.06406377244476892,-0.6,0.053837284831412355,0.0850641789467689,1.832595714594046
0.6333333333333333,0.10598885565668498,0.15948512476757562,-0.09589181137356456,0.334887830560201,0.06359331339401099,-0.6,0.05068418053293434,0.08694355683938139,1.832595714594046
0.7166666666666667,0.10510201910130668,0.16053666819443546,-0.09747545673365125,0.33194577965772576,0.063061211460784,-0.6,0.047544729732302504,0.08892468565609749,1.832595714594046
0.8,0.10407686702131783,0.16121300312954412,-0.09876688291675335,0.32922663504675276,0.062446120212790696,-0.6,0.04444965113894655,0.0910181436724859,1.832595714594046
0.05,0.08993048644225118,0.11833392422188123,-0.06437563235653042,0.3589116945089404,0.053958291865350706,-0.6,0.06326220371822941,0.0674124809000851,2.0943951023931953
0.13333333333333333,0.08861183363082369,0.1188696253498949,-0.0657025251714008,0.3569564121601606,0.05316710017849421,-0.6,0.060432304372333365,0.07065647266549979,2.0943951023931953
0.21666666666666667,0.08737414263480008,0.11936553740482067,-0.06694105182394067,0.35508656094799995,0.052424485580880045,-0.6,0.05734857310725289,0.07414646813683433,2.0943951023931953
0.3,0.08615613097368524,0.11974592552961671,-0.06805224694540549,0.3533712499678944,0.051693678584211145,-0.6,0.05404771165477488,0.07791099226246942,2.0943951023931953
0.3833333333333333,0.08489333573524963,0.11992226857429998,-0.06898626713315012,0.35188415151367053,0.05093600144114977,-0.6,0.05057005977301807,0.08197975159050643,2.0943951023931953
0.4666666666666666,0.08352172031171172,0.11979816110077547,-0.0696851289137484,0.35070011926126815,0.05011303218702703,-0.6,0.04695738055919146,0.08638313394815543,2.0943951023931953
0.55,0.08198087277351174,0.11927434969855907,-0.07008582603445229,0.3498921182819218,0.04918852366410704,-0.6,0.04325083307951955,0.09115170902667726,2.0943951023931953
0.6333333333333333,0.08021653762014588,0.11825339496486136,-0.07012347239277408,0.3495287242948723,0.04812992257208753,-0.6,0.039489311198776376,0.09631575261068957,2.0943951023931953
0.7166666666666667,0.07818236529384515,0.11664360722850937,-0.06973418805220218,0.3496723185490328,0.04690941917630709,-0.6,0.03570824530958298,0.1019048114383608,2.0943951023931953
0.8,0.07584089339117969,0.11436208458023979,-0.06885754854553175,0.35037798200191383,0.04550453603470781,-0.6,0.03193888403043678,0.10794731822049251,2.0943951023931953
0.05,0.07095361579902677,0.09314604527882009,-0.050573875799404006,0.360146842364042,0.04257216947941606,-0.6,0.05152271866358285,0.06126796081658721,2.356194490192345
0.13333333333333333,0.06991557641013536,0.0932248240129232,-0.051275478166842116,0.35920329606479334,0.04194934584608122,-0.6,0.04868554999213156,0.06621809411261603,2.356194490192345
0.21666666666666667,0.0688028998822401,0.09310388816880287,-0.05182214823945894,0.35866796880540425,0.04128173992934406,-0.6,0.04558851481798131,0.07172929853308135,2.356194490192345
0.3,0.06756387012805193,0.09271094890267206,-0.05217262682584072,0.3586246916771412,0.040538322076831154,-0.6,0.04225382489288826,0.07786608204837277,2.356194490192345
0.3833333333333333,0.06614314793401291,0.09196260244108159,-0.052276713680673645,0.359163809237554,0.039685888760407746,-0.6,0.03870796193058708,0.08469643793775934,2.356194490192345
0.4666666666666666,0.0644844721190391,0.09076786449103069,-0.05207718121960689,0.3603797077551456,0.03869068327142346,-0.6,0.03498064611676139,0.09229091603977457,2.356194490192345
0.55,0.06253338264664995,0.08903230365292732,-0.05151227406493739,0.362368188042929,0.03752002958798997,-0.6,0.03110386069765082,0.10072148909921938,2.356194490192345
0.6333333333333333,0.060239804050377495,0.08666251491753107,-0.05051863248730484,0.3652238090077987,0.036143882430226495,-0.6,0.027111026539112997,0.11006020882853315,2.356194490192345
0.7166666666666667,0.0575603834607553,0.08357071666968019,-0.04903448659322709,0.36903728038293593,0.03453623007645318,-0.6,0.023036379444861844,0.1203776397054836,2.356194490192345
0.8,0.0544605304569479,0.07967931033577305,-0.04700299206160426,0.37389293808827007,0.03267631827416874,-0.6,0.018914559246080768,0.13174104373062467,2.356194490192345
0.05,0.056539930023271526,0.07401444775015334,-0.04009048973619061,0.36102762499490293,0.03392395801396291,-0.6,0.03634830967916007,0.05686199229457811,2.617993877991494
0.13333333333333333,0.055909262021726,0.07401409006864512,-0.040468532855609377,0.36094479621290343,0.0335455572130356,-0.6,0.03404816650683081,0.06326655762108385,2.617993877991494
0.21666666666666667,0.0551006742410983,0.07373547666495074,-0.04067507212029166,0.3615743889492313,0.03306040454465898,-0.6,0.03151963891390703,0.07056822031395105,2.617993877991494
0.3,0.05408073487534844,0.07312940367252503,-0.040680962747315974,0.36302097275789086,0.032448440925209064,-0.6,0.02877046195264457,0.07888087619388703,2.617993877991494
0.3833333333333333,0.05281241482859274,0.07213981256505345,-0.04045236366789786,0.36539839804999213,0.03168744889715564,-0.6,0.025812735566844377,0.08832571972079314,2.617993877991494
0.4666666666666666,0.051256833311769834,0.07070597657921207,-0.03995187659215017,0.36882769435187485,0.030754099987061898,-0.6,0.022663110409151713,0.09902933683395719,2.617993877991494
0.55,0.0493753380647808,0.06876550248699884,-0.0391402996481307,0.37343421556629774,0.029625202838868478,-0.6,0.019343049742358964,0.11112098975766643,2.617993877991494
0.6333333333333333,0.04713187956138611,0.06625812859056465,-0.037979000853733215,0.3793439687582745,0.028279127736831666,-0.6,0.01587916609363441,0.12472896656558831,2.617993877991494
0.7166666666666667,0.04449563008719075,0.06313026855371279,-0.03643289050139834,0.38667908139877916,0.02669737805231445,-0.6,0.012303588946796392,0.1399758523996228,2.617993877991494
0.8,0.041443773482594315,0.05934019208663283,-0.034473927997076076,0.39555240935950053,0.024866264089556587,-0.6,0.008654273605760817,0.15697242378694895,2.617993877991494
0.05,0.04754335326161843,0.06207295887305905,-0.033546946916088005,0.36155788377329073,0.02852601195697106,-0.6,0.01878552874060724,0.054215172481627424,2.8797932657906435
0.13333333333333333,0.04726237335279406,0.06215480004735967,-0.03379737603568321,0.36205103164849606,0.028357424011676437,-0.6,0.01749695345619743,0.06159945395835564,2.8797932657906435
0.21666666666666667,0.0467545677037185,0.06194196369972195,-0.033889223077490836,0.3634742987297015,0.028052740622231096,-0.6,0.01607159324793028,0.07013929812171385,2.8797932657906435
0.3,0.04600550490845363,0.0614140325159577,-0.03381072957088536,0.3659507817219448,0.027603302945072176,-0.6,0.014509806422220987,0.07999258167219296,2.8797932657906435
0.3833333333333333,0.0449977615955859,0.060548903674654486,-0.03355024671730289,0.36961496777686165,0.026998656957351538,-0.6,0.012814862536800073,0.09132812871773688,2.8797932657906435
0.4666666666666666,0.04371181033620464,0.059323840822559704,-0.03309675462083675,0.3746104633569015,0.02622708620172278,-0.6,0.010993543650434283,0.10432255489464103,2.8797932657906435
0.55,0.04212724292029224,0.05771705439547897,-0.03244070864330368,0.3810864318796957,0.025276345752175345,-0.6,0.009056852547714945,0.11915551030502732,2.8797932657906435
0.6333333333333333,0.040224346358436525,0.05570983577816772,-0.03157522796310576,0.3891925105143741,0.024134607815061913,-0.6,0.007020786285132192,0.1360030357283763,2.8797932657906435
0.7166666666666667,0.03798602787189945,0.053289231291832925,-0.030497614568693335,0.3990720389263964,0.022791616723139667,-0.6,0.004907084462486551,0.1550287693641434,2.8797932657906435
0.8,0.03540004303231378,0.05045117100807325,-0.029211145188684944,0.41085356342247514,0.021240025819388268,-0.6,0.002743806637297496,0.17637245415018463,2.8797932657906435
0.05,0.04448602773507809,0.058014837157654764,-0.031323220516607825,0.36173517169779823,0.026691616641046856,-0.6,8.883707903071566e-18,0.05333274206054031,3.141592653589793
0.13333333333333333,0.044341760672826316,0.05814926488043205,-0.03154420847673621,0.3624307267942115,0.02660505640369579,-0.6,8.257983593812106e-18,0.06106287034840508,3.141592653589793
0.21666666666666667,0.04395787218651882,0.05799081653434017,-0.031616093222428636,0.36413549747636753,0.026374723311911295,-0.6,7.564185911451634e-18,0.0700456848245363,3.141592653589793
0.3,0.04332809331322495,0.05753209304790251,-0.031535237059967317,0.366980012668075,0.02599685598793497,-0.6,6.801798996833568e-18,0.08045674467042165,3.141592653589793
0.3833333333333333,0.042443522432173766,0.056766355236107145,-0.031300241776802754,0.3711069391182898,0.02546611345930426,-0.6,5.9718131211296604e-18,0.0924840560757111,3.141592653589793
0.4666666666666666,0.041293136576753084,0.05568808361629801,-0.03091220167024626,0.3766686379111427,0.02477588194605185,-0.6,5.077115340246254e-18,0.10632431875058482,3.141592653589793
0.55,0.03986455994262014,0.054293809778014,-0.030375073812441984,0.3838232096648979,0.023918735965572084,-0.6,4.122949199689369e-18,0.12217719433231664,3.141592653589793
0.6333333333333333,0.03814511136236924,0.052583207174095835,-0.0296961403566742,0.39272873679701137,0.022887066817421545,-0.6,3.117414533465202e-18,0.14023725378507731,3.141592653589793
0.7166666666666667,0.03612314037065153,0.05056040379998145,-0.028886519577590513,0.4035355100962563,0.021673884222390916,-0.6,2.0719471431222493e-18,0.16068338777341223,3.141592653589793
0.8,0.03378963612046675,0.04823544301861392,-0.027961661346333773,0.41637619085822275,0.020273781672280052,-0.6,1.001682555863453e-18,0.18366570202234525,3.141592653589793
